HOSPITAL NAME,Address,CITY
DENVAX NURSING HOME,"84,POORVI MARG , VASANT VIHAR",NEW DELHI
ARIHANT EYE CENTRE,"SHOP NO-4,NANDINI BHAWAN,MAIN BURARI ROAD, SANT NAGAR , BURARI",NEW DELHI
JIVISHA ADVANCED MEDICAL CENTRE,"NAV2DX MEDICARE PRIVATE LIMITED , 29 PASCHIM VIHAR EXTN ,UPPER GROUND FLOOR, OPPSITE PILLAR NO-197",DELHI
AARVY HOSPITAL,"530/18,CIVIL LINES , OPP NEHRU STADIUM,NEAR MOR CHOWK",GURUGRAM
GEM HOSPITAL,"OPP STREET NO-3, MADANPURI MAIN ROAD",GURUGRAM
AARVY HEALTHCARE PVT. LTD.,"SEC-90, NEW GURUGRAM",GURUGRAM
GIRRAJ JI HOSPITAL LLP,"PLOT NO 249, BADSHAPUR, NEAR RADHA KRISHNA MANDIR",GURUGRAM
KESAR HOSPITAL,"I-1242 , MAIN MUBARAK ROAD, PN-2ND , KIRARI",NEW DELHI
SHROFF EYE CENTRE,"509, KM TRADE TOWER , SEC-14 , KAUSHAMBI,ADJACENT TO RADISSON BLU",GHAZIABAD
RAHEJA HEALTHCARE CENTRE,"16/142 , GEETA COLONY , NEAR GOGIA SWEETS",NEW DELHI
AMRITA INSTITUTE OF MEDICAL SCIENCES AND RESEARCH CENTRE,"MATA AMRITANANDAMAYI MARG, SEC-88",FARIDABAD
SKG HOSPITAL,"415/9, GOPAL MANDIR GALI , OPP CITY PARK ,BALLABGARH",FARIDABAD
ARISE HOSPITAL,"SCO: C 3 179 , GREEN FIELD COLONY",FARIDABAD
ARTI HOSPITAL & TRAUMA CENTRE,"PLOT NO PKA -11- 12 , PARTHLA , KHANJARPUR , SEC -122 , G.B NAGAR",NOIDA
SWASTHYA HOSPITAL,"D2/11 , KRISHNA NAGAR",NEW DELHI
PREM DHARAM HOSPITAL & DIAGNOSTICS,"10D-180, NEAR NAGAR NIGAM OFFICE ,VASUNDHARA",GHAZIABAD
ACE HOSPITAL,"NH-1 , M-BLOCK,BPTP , PARKLAND , SEC-83",FARIDABAD
SHIVPRIYA HOSPITAL,"MAIN BAZGHERA CHOWK , NEW PALAM VIHAR PHASE-1",GURUGRAM
MAPLE CARE HOSPITAL,"PLOT NO -10, SEC-23 MBR ENCLAVE, OPP RANJIT VIHAR PHASE-2, POCHANPUR,DWARKA",NEW DELHI
NUMEDISURE GAURAV HOSPITAL,"RAJEEV COLONY,SAMAYPUR ROAD , BALLABGARH",FARIDABAD
PASRICHA HOSPITAL,"NEAR BHUTESHWAR MANDIR , BASAI ROAD",GURUGRAM
METRO LYF HOSPITAL,"A-45A, PATEL NAGAR-2nd",GHAZIABAD
EYE MED HOSPITAL,5E/48 B.P . NIIT,FARIDABAD
MOTHERHOOD HOSPITAL,"PLOT NO H55,56,57, MAYFIELD GARDENS COLONY",GURUGRAM
VISTA EYE CARE,"GN-12, 3RD FLOOR , SHIVAJI ENCLAVE , SUKHCHAIN MEHTA CHOWK, ABOVE PNB",NEW DELHI
SARVODAYA SUPERSPECIALITY HOSPITAL & HEART CENTRE,"PLOT NO D-3 , SEC-17 , KAVI NAGAR INDUSTRIAL AREA , NEAR DIAMOND FLYOVER",GHAZIABAD
ABHINAV BALAJI SUPRSPECIALTY HOSPITAL,"F-33,GANGA BANQUET ROAD , SEC-5 , RAJENDER NAGAR",GHAZIABAD
CITY HOSPITAL & TRAUMA CENTRE,"626/2 East Gokulpur Main Loni Road Gole Chakkar, Near Police Check Post",NEW DELHI
UROCARE APOLO MULTI & SUPER SPECIALITY HOSPITAL,"PLOT NO. 44, A & B, TIRKHA COLONY, BEHINDH. NO.N78, SEC 2",FARIDABAD
EPITOME KIDNEY UROLOGY INSTITUTE & LIONS HOSPITAL,"A-321,NEW FRIENDS COLONY , KHIZARABAD",NEW DELHI
AASHLOK HOSPITAL (MANAGED BY HEALTHREACH MANACARE PVT. LTD.),"25 A , BLOCK-AB ,COMMUNITY CENTRE , SAFDARJUNG ENCLAVE",DELHI
DR RAM SINGH ARYA MEDICAL CENTRE,"PLOT NO B-6,8 , ASHOKA ENCLAVE-2 , SEC-37",FARIDABAD
FIRST EYE CARE,"PLOT NO-609, MAINKARAL ROAD",NEW DELHI
SHASHIKANTA EYE & LASER CENTRE,"24/46,CHAJJUPUR, DURGAPURI CHOWK",NEW DELHI
VIVA VISION,"A-92 , FREEDOM FIGHTERS ENCLAVE , IGNOU ROAD",NEW DELHI
CDAS SUPERSPECIALITY HOSPITAL,"PLOT NO 1 , MALIBU TOWN , SEC-47",GURUGRAM
TYAGI NURSING HOME,"METRO STATION, 66/3 & 66/4 , NEAR TILAK NAGAR , BLOCK 66, ASHOK NAGAR",NEW DELHI
OJUS HOSPITAL,"RH-7 , SECTOR-2 , RAJENDER NAGAR , SAHIBABAD",GHAZIABAD
SUNRISE HOSPITAL,"3C-63, BP , NIT",FARIDABAD
IPSC PAIN AND SPINE HOSPITAL,"PLOT NO 453, SEC-19 , DWARKA",NEW DELHI
VIBRANT HOSPITAL PRIVATE LTD,"PLOT NO-1, SEC-100, NEAR HUDA W.T.P , BASSAI",GURUGRAM
MEDHA HOSPITAL & TRAUMA CENTRE,"BLOCK-E , SEC-11 , PRATAP VIHAR",GZB
RK & NARENDRA PRAKASH HOSPITAL,"PLOT NO 1, CHITRA VIHAR",DELHI
CLOUDNINE HOSPITAL,"PLOT NO 1B , 213/214, NH-1 , BLOCK-B , NEW INDUSTRIAL TOWNSHIP 1.",FARIDABAD
AB LASER EYE CENTRE,"3RD FLOOR , EMBARK PLAZA , NOIDA EXTN SEC-4",GREATER NOIDA
"RAM RATAN HOSPITAL(OPERATED & MANAGED BY FORTIS HOSPITALS PVT. LTD.),GR. NOIDA","BLOCK-D, INDUSTRIAL AREA , SURAJPUR SITE 4",GREATER NOIDA
"JIWAN DHARA HOSPITAL, GURUGRAM","OPP RADHA KRISHNA MANDIR , SOHNA ROAD ,BADSHAPUR",GURUGRAM
"VINAYAK HOSPITAL, GURUGRAM","KHANDSA ROAD , NEAR SBI",GURUGRAM
"BALAJI CARE HOSPITAL, NEW DELHI","PLOT NO-1169 , UTSAV VIHAR , RAMA VIHAR , BUS STAND ,MAIN KANJHAWALA ROAD",NEW DELHI
"KAILASH DEEPAK HOSPITAL, NEW DELHI","5,VIKAS MARG KARKARDOOMA , EAST DELHI",NEW DELHI
"CLOUDNINE HOSPITAL, PUNJABI BAGH, DELHI","PLOT NO-1 , NORTH WEST AVENUE ,PUNJABI BAGH",DELHI
LYF HOSPITAL(A UNIT OF SUBURBAN HOSPITALS PVT. LTD. ),"GC-4 ,GAUR CITY -1, GRAETER NOIDA WEST , GAUTAM BUDH NAGAR",GREATER NOIDA
YASHODA HOSPITAL & CANCER INSTITUTE,"15 , HC-1 , SEC-15 , VASUNDHRA.",GZB
"RAINDEW HOSPITAL, FARIDABAD","MOHANA ROAD, NEAR PNB BANK , BALLABGARH",FARIDABAD
UP STONE & UROLOGY CENTRE,"J-276 , PATEL NAGAR 1, OPP LOHIA NAGAR MARKET ,NEAR OLD BUS STAND",GHAZIABAD
AM VISION EYE & CHILD CARE,"8 , GROUND FLOOR , EAST AND ENCLAVE , LAXMI NAGAR",NEW DELHI
CENTRE FOR SIGHT,"SPECTRUM MALL, FIRST FLOOR , PLOT C & D , OPP SEC 50 METRO STATION ROAD, SECTOR-75",NOIDA
ARYA HOSPITAL,"C-1/101, PANKHA ROAD , JANAKPURI",NEW DELHI
RAJIV GANDHI CANCER INSTITUTE & RESEARCH CENTRE,"SQUADRON LEADER MOHINDER KUMAR JAIN MARG ,BLOCK-K , NITI BAGH",NEW DELHI
"SHARP SIGHT CENTRE, R K PURAM, NEW DELHI","5 , BASEMENT & GROUND FLOOR, ARADHANA ENCLAVE , SEC-13 , R.K PURAM",NEW DELHI
"SHARP SIGHT CENTRE, INDIRAPURAM, GZB.","ADITYA GOLD CREST , 101,102, 103 , 1ST FLOOR , PLOT C/GH3 , ABOVE NATHU SWEETS ,VAIBHAV KHAND, INDIRAPURAM",GZB.
"SHARP SIGHT CENTRE, PUSA ROAD, NEW DELHI","7 B , BASEMENT , MAIN PUSA ROAD , OPPOSITE RAJENDRA PLACE , METRO PILLAR 153",NEW DELHI
"SHARP SIGHT CENTRE, SHAHDARA, NEW DELHI","B 2/1 , NORTH CHAJJU PUR , 100 FUTA ROAD , DURGA PURI ,SHAHDARA",NEW DELHI
"RAVI WOMEN & CHILD HOSPITAL, GHAZIABAD","NEAR BHARAT PETROL PUMP , SEC-35 , NOIDA",GHAZIABAD
SARVODAYA HOSPITAL( A UNIT OF ANSHU HOSPITALS LTD.),"POCKET-2 , GH-03, SECTOR 16 C , GAUR CITY 2",GREATER NOIDA WEST
"SHIVAM HOSPITAL, NEW DELHI","A-4, 63,64,65 , SEC-16 , ROHINI",NEW DELHI
DR AGGARWAL’S WELLNESS MULTISPECIALITY HOSPITAL,"C-3/56 A , YAMUNA VIHAR",NEW DELHI
MANGALAM HOSPITAL,"1-A/22, LAXMI GARDEN, PATUDI ROAD",GURUGRAM
JAGDAMBA MEDICAL CENTRE,"246/28, JYOTI PARK , LANE NO 5 , MAIN ROAD",GURUGRAM
DELHI IVF & FERTILITY CLINIC,"29 RING ROAD , LAJPAT NAGAR 4",NEW DELHI
GENESIS HOSPITAL,"SIKANDARPUR BADHA , OPPOSITE DPS SCHOOL, SECTOR-84",GURUGRAM
NARENDER PRAKASH MEDICAL CENTRE,"B-9 , LAXMI NAGAR , OPP CHANAKYA SHOPPING CENTRE",DELHI
SHREYA HOSPITAL,"PLOT NO -837 , SHALIMAR GARDEN MAIN ROAD , BLOCK -C",GHAZIABAD
JAIN HOSPITAL,"P-1499 , SECTOR-46",GURUGRAM
DIPAKSHI NURSING & MATERNITY HOME PVT. LTD.,"C-53 A , SEC 33",NOIDA
JEEVAN JYOTI CLINIC & HOSPITAL,"G.T.B CHOWK , DILSHAD GARDEN",NEW DELHI
RBS HOSPITAL,"U-37 ROAD, RAO BALBIR SINGH MARKET , DLF PHASE 3 , NATHUPUR",GURUGRAM
TRIVENI HOSPITAL,"2N 67, BP NEAR YADAV TOUR & TRAVELS & 2-3 GOL CHAKKAR, N.I.T",FARIDABAD
BAJAJ FRACTURE CLINIC & NURSING HOME,NEW RAILWAY ROAD (GURGAON VILLAGE MORE),GURUGRAM
CLOUD NINE HOSPITAL,"COMMUNITY CENTRE, PLOT , STREET NO 6 B , FAZALPUR , I.P EXTENSION , MANDAWLI",DELHI
"M G EYE CENTRE , NEW DELHI","A-2, 118-119 , SEC-16 , ROHONI",DELHI
"SUNSHINE HOSPITAL, BALLABGARH","NEAR SANSKRITI CONVENT SCHOOL,SAHUPURA ROAD, SEC-64 , UCHA GAON ,BALLABGARH",FARIDABAD
LEELAVATI HOSPITAL,"1 A/104 , NEAR PHAWRA SINGH CHOWK , NIT",FARIDABAD
SHREE KESHAV HOSPITAL,"458, JAGDISH COLONY, MOHNA ROAD, OPP AKASH CINEMA , BALLABGARH",FARIDABAD
PRAYAG MULTISPECIALITY HOSPITAL,"67/NH-5, RAILWAY ROAD , NEAR NIT-5 , POLICE STATION",FARIDABAD
AROGAYA HOSPITAL,"MILAK LACHI MAIN ROAD , SEC-G3 , GREATER NOIDA WEST GAUTAM BUDH NAGAR",NOIDA
SANAR INTERNATIONAL HOSPITAL,"GOLF COURSE ROAD , SEC-53",GURUGRAM
TEWARI EYE CENTRE PVT. LTD.,"C-2C , SEC-55",NOIDA
"PRAKASH HOSPITAL, GURUGRAM","PLOT NO. 03-04 , MAIN MADANPURI JYOTI PARK ROAD , GALI NO -5 , JYOTI PARK SEC-7",GURUGRAM
KANT MULTISPECIALITY HOSPITAL,"PLOT NO-167 , MAIN KHERI ROAD GREATER,NEAR KHERI PUL BRIDGE, SEC-87",FARIDABAD
MAX MULTISPECIALITY CENTRE,"A-364, SECTOR-19",NOIDA
"MAX MULTISPECIALITY CENTRE, PANCHSHEEL PARK","N-110, PANCHSHEEL PARK",NEW DELHI
MAX INSTITUTE OF CANCER CARE,"A-26, SECONF FLOOR , RING ROAD ,LAJPAT NAGAR",NEW DELHI
VAISHNAVI NURSING HOME,"SEC-33 , EXIT 11 NH8 , NEAR HERO HONDA CHOWK",GURUGRAM
ACCURA EYE CENTRE,"GATE NO :1 ,S-347 , PANCHSHEEL PARK , NEAR PANCHSHEEL PARK METRO STATION",NEW DELHI
DALCO HEALTHCARE & WELLNESS CENTRE,"LAXMI NAGAR METRO STATION , GATE NO 3- 4 , U- 135/B , UPHADHYAY BLOCK , SHAKARPUR",DELHI
MET HOSPITAL,"NH-48 , RAMPURA",GURUGRAM
AROGYA HOSPITAL,"KANJHAWALA , LADPUR ROAD",NEW DELHI
RETICURE EYE CENTRE,"33A , GROUND FLOOR , BA BLOCK , PHASE 1 , ASHOK VIHAR",NEW DELHI
NAV DRISHTI EYE CENTRE,"B-5/351 , NEAR B5 MARKET ,OPP MAHARAJA AGERSEN PARK ,YAMUNA VIHAR",NEW DELHI
CANWINN AROGYA DHAM,"NEAR DSD COLLEGE , NEW RAILWAY ROAD",GURUGRAM
VIVEKANAND AAROGYA KENDRA,"466-P , SECTOR 12 A ,NEAR MADHAV BHAWAN",GURUGRAM
PUSHPANJALI HOSPITAL,"RR-30, MIANWALI NAGAR",NEW DELHI
SWASTIK MATERNITY & MEDICAL CENTRE,"75 & 78 H , VIJAY PARK , NEAR LAXMI NAGAR , MAIN MADAN PURI ROAD",GURUGRAM
JANAK HOSPITAL,"INDIRA COMPLEX, GALI NO 3 , NEHAR PARK , KHERI ROAD , OLD FARIDABAD",FARIDABAD
MADHUP MEDICARE PVT. LTD.,"PLOT NO -379 , NITI KHAND-3 , INDIRAPURAM",GHAZIABAD
ANANTA HOSPITAL,"NH-1 , BLOCK-C, BPTP , ASTAIRE GARDENS , SECTOR 70 A",GURUGRAM
SEEMA EYE CENTRE,"116-A , POCKET-A , DILSHAD GARDEN , NEAR GTB CHOWK",DELHI
APRASU AYURVEDA PANCHKARMA CENTRE,"B-1087-88, ROHINI SECTOR-1 , AVANTIKA CHOWK",DELHI
"CENTRE FOR SIGHT,BHIWANI","A/1,2,CIRCULAR ROAD,OPP OLD BUS STAND , PANCHAYAT POCKET,NAYA BAZAR HOUSING BOARD COLONY",BHIWANI
"CENTRE FOR SIGHT, REWARI","A-4 , CIRCULAR ROAD, NEAR HERO AGENCY , SECTOR-5",REWARI
"CENTRE FOR SIGHT, PALWAL","HOUSE NO 6671-A & 6671-B OPP ICIC I BANK , NEW COLONY",PALWAL
"CENTRE FOR SIGHT, MORADABAD","KANTH MARG, HARTHALA",MORADABAD
"CENTRE FOR SIGHT, AGRA","1st & 2nd FLOOR , ASHOKA PLAZA,BYE PASS ROAD ,NH-2",AGRA
UMANG SUPERSPECIALITY HOSPITAL,"BUILDING NO -306 , OPP RADHA SWAMI SATSANG BHAWAN,PATAUDI ROAD",GURUGRAM
EYE HUB VISION CARE,"41,GROUND FLOOR , LINK ROAD , SECTOR 28",FARIDABAD
AS KIDNEY HOSPITAL & STONE CENTRE PVT. LTD.,"RZ A 70 , DASHRATH PURI, ADJOINING JINDAL PUBLIC SCHOOL",NEW DELHI
SCI INTERNATIONAL HOSPITAL,"PLOT NO 7 , SECTOR-43 , GOLF COURSE ROAD",GURUGRAM
VERIEZON HOSPITAL,"PLOT NO 164P & 165P , VIKAS MARG , SECTOR 52",GURUGRAM
NAVIN HOSPITAL (A UNIT OF ADVANCE LIFECARE VT. LTD. ),"A-13/1 , INDUSTRIAL AREA , MEERUT ROAD",GHAZIABAD
NARAIN EYE CARE CENTRE,"NL-02 , SECTOR-104 , NEAR FIREFOX SHOP",NOIDA
OM EYE & GYNAE CENTRE,"5/622 (OPP RAMPRASTHA GREEN GATE NO 4)NEAR MOHAN DHABA , SEC-5, VAISHALI",GHAZIABAD
ADARSH MULTISPECIALITY HOSPITAL & TRAUMA CENTRE,"A-12 , SARAI PIPAL THALA , ADARSH NAGAR EXTENSION MAIN ROAD ,OPPOSITE METRO PILLAR",DELHI
MAVI HOSPITAL PVT. LTD.,"B-2/11 , NEHRU VIHAR , KARAWAL NAGAR",DELHI
GANDHI EYE CENTRE,"SHOP NO-118 , HOUSING BOARD , SECTOR-10",FARIDABAD
ARUNODAYA DESERT EYE HOSPITAL,"PLOT NH4( NURSING HOME-4), SECTOR-55",GURUGRAM
NARAYANA NETRADHAMA,"WZ-1390/ 4-A , PANKHA ROAD , OPPOSITE BLOCK-D , BUS STOP , JANAKPURI",DELHI
KRM AYURVEDA,"77,TARUN ENCLAVE , GATE NO-2 , PARWANA ROAD,PITAMPURA",DELHI
AYUR KARMA AYURVEDA,"108,SILOKHRA ,ADJACENT UNIWORLD CITY EAST GATE , SEC-41",GURUGRAM
DR. SUNDERLAL MEMORIAL HOSPITAL,"C-201, JAWAHAR PARK, DEVLI ROAD , KHANPUR",DELHI
JIVODAYA HOSPITAL,"Ashok Vihar, Phase 1 RD , NEAR DEEP MARKET , WAZIRPUR VILLAGE , ASHOK VIHAR",DELHI
THE HOPE HOSPITAL AND HEALTHCARE PVT. LTD,"NURSING HOME 20, DELTA 2,",GREATER NOIDA
"VISION EYE CENTRE, SIRI FORT ROAD","19,SIRI FORT ROAD , SEC-3 , SADIQ NAGAR",DELHI
MOGA HOSPITAL,"Clinic No. 9 , Sector 3, Ballabhgarh",FARIDABAD
MASSH HOSPITAL,"B-18 , NEHRU PLACE FLYOVER, CHIRAG ENCLAVE",NEW DELHI
SHREE RADHE KRISHNA HOSPITAL,"238 , KAILASHPURI TO NASIRPUR ROAD , NEAR JBM PUBLIC SCHOOL , PALAM",NEW DELHI
AARNA EYE CENTRE,"6 , INDER ENCLAVE , OPP METRO PILLAR NO 314 , MAIN ROHTAK ROAD",NEW DELHI
IVORY HOSPITAL PVT. LTD.,"NH-25, POCKET E , SECTOR-36(RHO-1),GREATER NOIDA, G.B NAGAR",GREATER NOIDA
NUMED SUPER SPECIALITY HOSPITAL (A UNIT OF APY MEDISERVICES PVT. LTD.),"H-2, SECTOR-3 , NOIDA EXTENSION, GAUTAM BUDH NAGAR",GREATER NOIDA
AAYU HOSPITAL,"PLOT NO -140 , NEAR VISHAL MEGA MART , HARI NAGAR , KHANDSA ROAD",GURUGRAM
PRABHA MEDICAL CENTRE,"SB-25, SECTOR-117",NOIDA
HEALING HANDS PG GYNAECOLOGY & UROLOGY CENTRE,"BF-94, LAL SAI MANDIR MARG , OPP DELHI HAAT , JANAK PURI",NEW DELHI
"ARTEMIS LITE , NEW FRIENDS COLONY","A-1 , C V RAMAN MARG , NEAR INDIAN OVERSEAS BANK NEW FRIENDS COLONY",DELHI
SATYA MULTISPECIALITY HOSPITAL,"PEEPAL ROAD , BHAGWATI GARDEN , BLOK E , NAWADA",NEW DELHI
NARAYANA MOTHER & CHILD CARE CENTRE,"5-6, HOUSING BOARD COLONY , JHARSA ROAD , PATEL NAGAR",GGN
SILVERCREST HOSPITAL,"4/9 , RATTAN GARDEN , NEW COLONY MOR",GURUGRAM
SD MULTISPECIALITY HOSPITAL,"PLOT NO-4 , SHANTI KUNJ , PART-2 , MARUTI KUNJ ROAD , BADSHAPUR",GURUGRAM
GTK HOSPITAL,"A-9-10-11 , SARAI PIPAL THALA EXTENSION , ADARSH NAGAR , MAIN GTK ROAD , OPP METRO PILLAR NO -99",NEW DELHI
OCEAN MEDICITY MULTISPECIALITY HOSPITAL,"MAIN BANDH ROAD , NEW SEHATPUR PULL , NEAR SECTOR-91",FARIDABAD
PARK HOSPITAL,"BLOCK -H , PALAM VIHAR",GURUGRAM
BATRA HEART & MULTISPECIALITY HOSPITAL,"HEALTH SITE , SPRING FIELD COLONY , SECTOR 31,32",FARIDABAD
AKROPOLIS SUPERSPECIALITY HOSPITAL,"NEAR VATIKA CHOWK , SECTOR 69",GURUGRAM
MEDHARBOUR HOSPITAL,"PLOT -222, SECTOR-51",GURUGRAM
JAIN HOSPITAL & RESEARCH CENTRE,"M966+M2W,BLOCK A , SECTOR 14 A/636 , 626 , OPPOSITE SAHIBABAD , SABZI MANDI , VASUNDHARA",GHAZIABAD
KMC HEALTHCARE MULTISPECIALITY HOSPITAL,"RZ-11-P-174, PURAN NAGAR, NEAR FLYOVER, PALAM,(Opposite Palam Metro Station, Gate No. 3)",DELHI
GUPTA MULTISPECIALITY HOSPITAL,VIVEK VIHAR PHASE 1 VIVEK VIHAR,NEW DELHI
AKSHOM HOSPITAL & RESEARCH CENTRE,"HOSPITAL SITE NO-2 , HUDA MARKET , SECTOR-7",FARIDABAD
CANCEL CANCER BY INTERNATIONAL CANCER CARE PRIVATE LIMITED,"66-67, GF, POCKET - C5 , ROHINI SEC -6",NEW DELHI
ARTEMIS LITE HOSPITAL,"TOWNSEND AVENUE VATIKA INDIA NEXT , SECTOR 82 A",GURUGRAM
RAMANUUJ HOSPITAL,"158, RAJNAGAR EXTENSION, NEAR AGARWAL HEIGHTS, KDP GOL CHAKKAR",GHAZIABAD
PREM CHARITABLE MULTISPECIALITY HOSPITAL,"C-251 , SARAL PIPALTHALA, ADARSH NAGAR",NEW DELHI
"WANSHIKA MEDICARE, NEW DELHI","B4/44 , SAFDARJUNG ENCLAVE ,",NEW DELHI
VARDHMAN HOSPITAL (A UNIT OF VARDHMAN HEALTHCARE),"H.NO-164 , KH NO-182, GF , BLOCK-U, LAMPUR ROAD , NARELA",NEW DELHI
DM HOSPITAL,"89-A, N.H-5, RAILWAY ROAD , NEAR POLICE THANA (N.I.T) FARIDABAD",FARIDABAD
SAMARPAN HOSPITAL,"SCF-13 , ASHOKA ENCLAVE ,PART -2 , MARKET NEAR KANISHKA TOWER , SEC -35",FARIDABAD
RAGHAV HOSPITAL,"MAIN KHERI ROAD , KARNEL VIHAR (NEAR BHARAT COLONY), SEC-87",GREATER FARIDABAD
SANJEEVANI HOSPITAL,"PLOT NO -284 , PLOT-5, JASOLA VIHAR",NEW DELHI
SWASTIK IMAGING & EYE CARE,"3C-70 BP , OPP ESI MEDICAL COLLEGE AND HOSPITAL , NIT-3",FARIDABAD
"DRISHTI EYE CENTRE, SECTOR 17","CLINIC SITE-2 , MAIN MARKET , SECTOR-17",FARIDABAD
ANJULI NURSING HOME,"PLOT-2 , BLOCK-J , SECTOR 84",FARIDABAD
BR HOSPITAL -A LAPAROSCOPIC & MULTISPECIALITY HOSPITAL,"H-130,DLF SECTOR-10",FARIDABAD
SAMARTH HOSPITAL (APB SAMARTH HOSPITAL OPC PVT. LTD.),"1441/35, OLD MATA ROAD , NEAR SEC 5 POLICE STATION",GURUGRAM
SAI HOSPITAL (A UNIT OF AGRANYAI HEALTHCARE PVT. LTD.),"PLOT NO-2, SECTOR-30, HUDA MARKET",FARIDABAD
INSIGHT EYE CLINIC (A UNIT OF GOYAL EYE GROUP OF EYE CENTERS),"J-9/5 , OPP SARASWATI BALMANDIR SCHOOL ,RAJOURI GARDEN",NEW DELHI
"CENTRE FOR SIGHT, M2K","GF-M2K, CORPORATE PARK , 22TO25 , BLOCK -N , MAYFIELD GARDEN , SEC-51",GURUGRAM
MAHARAJA AGARSAIN HOSPITAL,"BLOCK-D, ASHOK VIHAR , PHASE-1",NEW DELHI
AALOK HOSPITAL,"PLOT NO -136 , KH.NO -103/14, RAJEEV NAGAR , MAIN KANJHAWLA ROAD ,SEC-38 , ROHINI",GURUGRAM
INDIAN CANCER INSTITUTE,"R-57,HANSRAJ GUPTA,GREATER KAILASH, PART-1",NEW DELHI
NIRAMAY HOSPITAL,"RZ-23, INDRA PARK ,PANKH ROAD ,INSID TILAK PUL , UTTAM NAGAR",NEW DELHI
METRO CITY HOSPITAL & LAPROSCOPIC CENTRE,"KHASRA NO-1746, PLOT NO -2 , BALAJI ENCLAVE , BEHTA HAJIPUR , LONI",GHAZIABAD
GIRRAJ JI CHILD HOSPITAL,"MG ROAD , NEAR GIRLS COLLEGE",GURUGRAM
VARDAYANI MULTISPECIALITY CHARITABLE HOSPITAL,"C-33, NEW ACHARYA , KRIPLANI MARG , ADARSH NAGAR",NEW DELHI
SHEKHAR EYE CENTRE,"KD-182 , NEAR KOHAT ENCLAVE METRO STATION ,OPP PILLAR NO 342 , BLOCK KD , DAKSHINI PITAMPURA",NEW DELHI
JEENA SIKHO LIFECARE LTD.,"A-1/11, SAFDARJUNG ENCLAVE",NEW DELHI
JEENA SIKHO LIFECARE LTD.,"H-63 , BLOCK-H , SOUTH CITY 2 , SECTOR 50 , BEHIND BAANI SQUARE , MANDIR ROAD",GURUGRAM
VBM HELIX HOSPITAL,"PARAM TOWER-26/2, HERO HONDA ROAD, BASAI ENCLAVE, SECTOR-37C,NEAR ALPINE",GURUGRAM
VAANI HEALTHCARE,"PLOT NO 57/2538, NEAR KABOOTAR CHOWK , SEC-57",GURUGRAM
AAROGYA HOSPITAL,"MAYUR KUNJ , OPP GALO NO -6 , NEAR DPS SCHOOL",GURUGRAM
KAILASH MEDICARE & RESEARCH CENTRE,"13,PREM ENCLAVE,MEERUT ROAD (OPP DPS), GHAZIABAD",GHAZIABAD
VISION CARE CENTRE,"E-16/389,392 , SECTOR-8 , ROHINI",NEW DELHI
BHARAT MULTISPECIALITY HOSPITAL,"PLOT NO-5, MAIN ROAD FNG , NEAR BY SECTOR-112, OPP BARAT GHAR",NOIDA
"SANTOM HOSPITAL, SECTOR 24","CS/OCF - 4, POCKET-10, Sector-24, ROHINI",DELHI
B R HEALTHCARE ROHINI HOSPITAL,"Plot No. 13, Shahabad Extension, Bawana Road, Sector-17,Rohini",DELHI
CENTRE FOR SIGHT,"FLOOR-3 , VINAYAK AASHIRWAD,36/28 , TASHKENT MARG , PVR CHAURAHA , CIVIL LINES",PRAYAGRAJ
CENTRE FOR SIGHT,"MUGLAHA CHAURAHA , MEDICAL COLLEGE ROAD , MUGLAHA , OPP VISHAL MEGA MART",GORAKHPUR
"SIGHT & SMILE CENTRE, PATEL NAGAR","3/29, WEST PATEL NAGAR",DELHI
"KUNJ EYE HOSPITAL, SANGAM VIHAR","C-1/270,SANGAM VIHAR, NEW HOLI CHOWK , DEVLI HIGH SCHOOL ROAD",DELHI
YASHODA SUPERSPECIALITY HOSPITAL & CANCER INSTITUTE,"B-1& 2 , SEC-23 , SANJAY NAGAR",GHAZIABAD
SHRI RAM HOSPITAL,"B-14,SHANKER GARDEN , VIKAS PURI",DELHI
CK BIRLA HEALTHCARE PVT. LTD,"Block- J , Mayfield Garden , Sector-51",GURUGRAM
CK BIRLA HEALTHCARE PVT. LTD.,"57/41,WEST PUNJABI BAGH",DELHI
MAX SUPERSPECIALITY HOSPITAL,"Plot No-1 , Sector-10",DWARKA
S G HOSPITAL,"Plot No-18 A , Dadri Road , Tilapta Karanwas , Opposite Denso Company",GREATER NOIDA
RUMEDIC HOSPITAL,"RZ-52-4/3 , RAJ NAGAR PART 1 , STREET NO 9 , OLD MEHRAULI ROAD , SHIV SHAKTI MANDIR ,PALAM",DELHI
AVEE HOSPITAL ( A UNIT OF KASTURA MEDICOS LTD.),"SECTOR-6 , VAISHALI",GHAZIABAD
"SHIVAM HOSPITAL,","NH-1 , NEAR JAL VAYU VIHAR SOCIETY , SECTOR-30",GURUGRAM
MAHARAJA AGRASEN SATNARAIN GUPTA HOSPITAL,Nuna Majra,BAHADURGARH
LIFE CARE HOSPITAL,"E-1, SECTOR-61 , NEAR SAI MANDIr",NOIDA
SIGNATURE HEART & MULTISPECIALITY HOSPITAL,"C-2/41A ,SERVICE LANE , YAMUNA VIHAR",DELHI
Abhaya Hospital,"17 Dr. M.H. Mari Gowda Road(Hosur Road), Opp. Park Area Wilson Garden Bangalore - 560027",Bengaluru
Bangalore Hospital,"No.202. R.V. Road, South End Circle Jayanagar, Bangalore",Bengaluru
